region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long,description_length,posting_year,posting_month,car_age,odometer_per_year,is_high_mileage,manufacturer_frequency
little rock,7950,2018.0,nissan,Other,excellent,4 cylinders,gas,48950.0,rebuilt,automatic,fwd,compact,sedan,grey,ar,35.3067,-93.0712,690,2021.0,4.0,3.0,16316.666666666666,0,0.04915
orlando,63000,2017.0,ford,f-250,Unknown,Unknown,diesel,72033.0,clean,automatic,4wd,Unknown,pickup,white,fl,28.567037,-81.291542,4625,2021.0,4.0,4.0,18008.25,0,0.1533
stockton,40990,2018.0,lexus,Other,good,Unknown,other,38987.0,clean,other,4wd,Unknown,SUV,Unknown,ca,33.7865,-84.4454,3970,2021.0,4.0,3.0,12995.666666666666,0,0.02515
modesto,18000,2006.0,ford,Other,excellent,8 cylinders,gas,125757.0,clean,automatic,rwd,full-size,van,grey,ca,37.8134,-121.2132,654,2021.0,4.0,15.0,8383.8,0,0.1533
hartford,20590,2015.0,audi,Other,good,Unknown,gas,30786.0,clean,other,fwd,Unknown,sedan,Unknown,ct,41.76,-72.68,4322,2021.0,4.0,6.0,5131.0,0,0.01865
ventura county,9450,2007.0,lexus,Other,Unknown,Unknown,gas,136240.0,clean,automatic,fwd,Unknown,SUV,silver,ca,34.272911,-119.262978,587,2021.0,4.0,14.0,9731.42857142857,0,0.02515
sarasota-bradenton,21988,2017.0,ram,1500,Unknown,Unknown,gas,89619.0,clean,automatic,4wd,Unknown,Unknown,Unknown,fl,27.241721,-82.506402,6709,2021.0,4.0,4.0,22404.75,0,0.0382
ocala,11999,2015.0,mazda,Other,excellent,4 cylinders,gas,96445.0,clean,automatic,fwd,mid-size,sedan,grey,fl,28.899361,-82.374053,264,2021.0,4.0,6.0,16074.166666666666,0,0.0144
tucson,10995,2016.0,hyundai,elantra,excellent,4 cylinders,gas,87000.0,clean,automatic,fwd,mid-size,sedan,Unknown,az,32.25,-110.8869,3477,2021.0,5.0,5.0,17400.0,0,0.0267
tampa bay area,18000,2012.0,ford,f-150,Unknown,Unknown,gas,78821.0,clean,automatic,4wd,Unknown,pickup,black,fl,27.911414,-82.401974,5810,2021.0,4.0,9.0,8757.888888888889,0,0.1533
south florida,10000,2013.0,bmw,Other,excellent,4 cylinders,gas,94000.0,clean,automatic,rwd,Unknown,sedan,silver,fl,25.9894,-80.2153,409,2021.0,4.0,8.0,11750.0,0,0.0387
inland empire,21000,2016.0,Unknown,Other,Unknown,6 cylinders,gas,12274.0,clean,automatic,fwd,sub-compact,coupe,white,ca,33.901295,-117.453085,77,2021.0,5.0,5.0,2454.8,0,0.04385
atlanta,9900,2008.0,chrysler,Other,like new,8 cylinders,gas,150112.0,clean,automatic,rwd,full-size,truck,grey,ga,33.8178,-84.0229,825,2021.0,5.0,13.0,11547.076923076924,1,0.0129
Other,25000,1992.0,chevrolet,silverado,excellent,8 cylinders,gas,66000.0,clean,automatic,Unknown,Unknown,Unknown,black,ga,34.484648,-85.345394,140,2021.0,4.0,29.0,2275.862068965517,0,0.11195
monterey bay,5395,2008.0,honda,Other,good,4 cylinders,gas,226684.0,clean,automatic,fwd,mid-size,sedan,grey,ca,36.678966,-121.647459,2895,2021.0,4.0,13.0,17437.23076923077,1,0.0545
tucson,26995,2019.0,volkswagen,Other,Unknown,4 cylinders,gas,9290.0,clean,automatic,fwd,Unknown,sedan,white,az,32.236075,-110.878886,678,2021.0,4.0,2.0,4645.0,0,0.02345
bakersfield,36950,2018.0,chevrolet,Other,excellent,8 cylinders,diesel,128254.0,clean,automatic,4wd,full-size,truck,grey,ca,33.794656,-117.992994,7510,2021.0,4.0,3.0,42751.333333333336,0,0.11195
