column,dtype,n_unique,missing_count
id,int64,20000,0
url,object,20000,0
region,object,100,0
region_url,object,100,0
price,int64,3109,0
year,float64,93,69
manufacturer,object,41,877
model,object,5398,269
condition,object,6,7669
cylinders,object,8,8231
fuel,object,5,139
odometer,float64,12318,274
title_status,object,6,424
transmission,object,3,119
VIN,object,10195,7473
drive,object,3,6239
size,object,4,14268
type,object,13,3954
paint_color,object,12,5942
image_url,object,16933,8
description,object,19051,8
county,float64,0,20000
state,object,15,0
lat,float64,5267,182
long,float64,5323,182
posting_date,object,19769,8
