feature,importance,absolute_value
num__year,0.22446194436679234,0.22446194436679234
num__car_age,0.19313612970243366,0.19313612970243366
num__odometer,0.09684694217186446,0.09684694217186446
cat__drive_fwd,0.08718640087687017,0.08718640087687017
cat__fuel_diesel,0.06892992813736608,0.06892992813736608
num__description_length,0.0413584122600599,0.0413584122600599
cat__cylinders_8 cylinders,0.034448457303885245,0.034448457303885245
cat__cylinders_4 cylinders,0.026341429461529512,0.026341429461529512
num__odometer_per_year,0.02300296163461474,0.02300296163461474
num__long,0.01824683957891141,0.01824683957891141
num__manufacturer_frequency,0.017445059005390565,0.017445059005390565
num__lat,0.01732201875389588,0.01732201875389588
cat__drive_4wd,0.01503953737383405,0.01503953737383405
cat__fuel_gas,0.013123950216726559,0.013123950216726559
cat__type_pickup,0.010967453235100915,0.010967453235100915
cat__drive_Unknown,0.006625992754329335,0.006625992754329335
cat__cylinders_6 cylinders,0.006614960990490145,0.006614960990490145
cat__fuel_other,0.0055437077308693765,0.0055437077308693765
cat__type_sedan,0.003384683109036745,0.003384683109036745
cat__manufacturer_Unknown,0.0029231738922887935,0.0029231738922887935
cat__condition_good,0.0029214015296930573,0.0029214015296930573
cat__transmission_automatic,0.002774324656480975,0.002774324656480975
cat__condition_excellent,0.0026445976471603455,0.0026445976471603455
cat__manufacturer_mitsubishi,0.0025592077036192414,0.0025592077036192414
cat__type_SUV,0.002491907748687136,0.002491907748687136
cat__drive_rwd,0.0023396709622082504,0.0023396709622082504
cat__condition_Unknown,0.0022801364524921517,0.0022801364524921517
cat__type_truck,0.0022268504250675045,0.0022268504250675045
cat__manufacturer_mercedes-benz,0.0021155497369371385,0.0021155497369371385
cat__type_Unknown,0.002013916353238421,0.002013916353238421
cat__type_other,0.0019536351119602015,0.0019536351119602015
num__posting_month,0.0019295445270285413,0.0019295445270285413
cat__paint_color_white,0.0019120407174918468,0.0019120407174918468
cat__paint_color_Unknown,0.0018755883472918744,0.0018755883472918744
cat__manufacturer_audi,0.0017759963774513316,0.0017759963774513316
cat__cylinders_Unknown,0.0017747791700505435,0.0017747791700505435
cat__manufacturer_lexus,0.001768496011151213,0.001768496011151213
cat__type_hatchback,0.001652872874795652,0.001652872874795652
cat__manufacturer_toyota,0.001632586886764752,0.001632586886764752
cat__model_Other,0.0015944383217707753,0.0015944383217707753
cat__manufacturer_nissan,0.0015373927783681367,0.0015373927783681367
cat__paint_color_black,0.0014697006416531295,0.0014697006416531295
cat__manufacturer_chevrolet,0.0014536974005375483,0.0014536974005375483
cat__manufacturer_porsche,0.0014380811293987653,0.0014380811293987653
cat__manufacturer_tesla,0.001424413723055825,0.001424413723055825
