manufacturer,model,year,odometer,condition,type,state,actual_price,predicted_price,price_gap_actual_minus_predicted,deal_score
audi,Other,2011.0,55293.0,Unknown,coupe,ca,68750,26904.8655966811,41845.1344033189,-41845.1344033189
Unknown,Other,2000.0,177581.0,good,Unknown,ca,48000,11414.39307317682,36585.60692682318,-36585.60692682318
jeep,Other,1986.0,350000.0,excellent,SUV,ca,44000,10308.046097177335,33691.953902822665,-33691.953902822665
ram,3500,2019.0,48785.0,excellent,truck,fl,58999,31290.60183215203,27708.39816784797,-27708.39816784797
cadillac,Other,2020.0,23824.0,Unknown,Unknown,ca,68358,41118.12366990725,27239.876330092757,-27239.876330092757
cadillac,Other,2018.0,48675.0,Unknown,Unknown,fl,61155,34299.75927613042,26855.24072386958,-26855.24072386958
mercedes-benz,Other,2013.0,25500.0,like new,convertible,fl,59900,33134.36147580197,26765.63852419803,-26765.63852419803
Unknown,Other,2007.0,73098.0,Unknown,Unknown,fl,39997,13746.867093688285,26250.132906311715,-26250.132906311715
Unknown,Other,2017.0,498572.0,excellent,truck,ca,59999,34245.141604256845,25753.858395743155,-25753.858395743155
mercedes-benz,Other,2013.0,59119.0,excellent,convertible,fl,43850,18623.54249143229,25226.457508567702,-25226.457508567702
