feature,importance,absolute_value
cat__fuel_gas,0.0546032,0.0546032
cat__drive_fwd,0.05351543,0.05351543
cat__fuel_diesel,0.051441252,0.051441252
num__car_age,0.04206992,0.04206992
cat__cylinders_4 cylinders,0.041899703,0.041899703
num__year,0.038386427,0.038386427
cat__type_pickup,0.03683553,0.03683553
cat__drive_4wd,0.03643491,0.03643491
cat__cylinders_8 cylinders,0.026445236,0.026445236
cat__model_Unknown,0.02003682,0.02003682
cat__manufacturer_hyundai,0.015646266,0.015646266
cat__fuel_hybrid,0.015427147,0.015427147
num__odometer,0.014612693,0.014612693
cat__manufacturer_mitsubishi,0.014111678,0.014111678
cat__manufacturer_nissan,0.01257229,0.01257229
cat__type_hatchback,0.01182865,0.01182865
cat__type_truck,0.0110602565,0.0110602565
cat__manufacturer_porsche,0.010600622,0.010600622
cat__transmission_other,0.010315487,0.010315487
cat__type_sedan,0.010152437,0.010152437
cat__manufacturer_tesla,0.009051683,0.009051683
cat__manufacturer_kia,0.008176918,0.008176918
cat__manufacturer_mercedes-benz,0.007757185,0.007757185
cat__transmission_automatic,0.007646189,0.007646189
cat__cylinders_6 cylinders,0.0069123283,0.0069123283
cat__drive_rwd,0.006887471,0.006887471
cat__fuel_other,0.006672289,0.006672289
num__is_high_mileage,0.006592379,0.006592379
cat__model_corvette,0.0065260543,0.0065260543
cat__title_status_clean,0.0064220843,0.0064220843
cat__manufacturer_subaru,0.0064183837,0.0064183837
cat__manufacturer_dodge,0.006365813,0.006365813
cat__title_status_Unknown,0.0061050868,0.0061050868
cat__type_wagon,0.006053747,0.006053747
cat__manufacturer_audi,0.0060405773,0.0060405773
cat__manufacturer_fiat,0.0059580696,0.0059580696
cat__manufacturer_lexus,0.0057902276,0.0057902276
cat__manufacturer_Unknown,0.005560406,0.005560406
num__manufacturer_frequency,0.005451599,0.005451599
cat__region_south florida,0.00527405,0.00527405
cat__condition_good,0.0052317465,0.0052317465
num__description_length,0.005052091,0.005052091
cat__manufacturer_ram,0.004938308,0.004938308
cat__drive_Unknown,0.0048393635,0.0048393635
cat__region_denver,0.0048376434,0.0048376434
cat__model_sienna,0.0046888925,0.0046888925
cat__manufacturer_lincoln,0.0046713743,0.0046713743
cat__type_SUV,0.0044399765,0.0044399765
cat__manufacturer_cadillac,0.0043259053,0.0043259053
cat__region_western slope,0.0043254974,0.0043254974
cat__manufacturer_bmw,0.0042539965,0.0042539965
cat__model_tundra,0.004217095,0.004217095
cat__manufacturer_toyota,0.004151515,0.004151515
cat__manufacturer_chrysler,0.0041488097,0.0041488097
